x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	y
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	76
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	73
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	33
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	45
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	38
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	45
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	78
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	47
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/p-Dioxane	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	11
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	24
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	0
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	No Reaction
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	59
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	71
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.308M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	27
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	27
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	66
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	18
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	55
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	71
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.051M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	13
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	40
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	83
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	20
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	55
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	71
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.036M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	12
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	27
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	91
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	19
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	52
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	62
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.018M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	21
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	30
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	77
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	3.51	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	33
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	OMe	a	OBn	OBn	OH	OBn	4_OH	secondary	3.51	-40 ℃	DCM	0.167M	1:1.5	NIS_TfOH	33
